names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_min
Siah1a,0.25313792,0.24311917,0.8001616438736805,1.0,0.86040473,0.352062,0.3895659797128125,1.0,1.1135427,0.4006817,0.5113553,0.6886544922964533,1.0,1.0356264,0.69578767,0.3003764845878373,1.0,1.4363081,0.3003764845878373
Ninj1,0.14624254,0.044580266,0.8837299256231612,1.0,0.956309,0.5897717,0.33891612134639193,1.0,1.1025516,0.563948,1.1229572,0.5727895446383675,1.0,0.7544426,0.9002114,0.4505835091826441,1.0,1.3183906,0.33891612134639193
Tmem43,,,,,,,,,,0.2275135,1.1610273,0.8200244636716532,1.0,0.9387995,1.5061355,0.34783368820712113,1.0,1.166313,0.34783368820712113
Zbtb46,,,,,,,,,,0.32515088,1.0218209,0.7450668752772931,1.0,0.93248475,1.3905389,0.3510860799230209,1.0,1.2576356,0.3510860799230209
Trim65,-0.12475603,0.3054595,0.9007166971367454,1.0,0.9128261,0.6752742,0.36133400241283253,1.0,0.7880701,0.15198271,0.6277847,0.8792005723101536,1.0,0.8405694,0.91367596,0.4005892235741686,1.0,0.9925521,0.36133400241283253
Cdc42ep3,-0.17686081,0.051345445,0.8596177215289619,1.0,0.90493923,0.081193164,0.3654975747639295,1.0,0.7280784,0.008289966,0.2856671,0.9933856398609604,1.0,0.88547456,0.49860656,0.37590072405835917,1.0,0.89376456,0.3654975747639295
Cbx7,-0.18102382,0.118065536,0.8563488778090993,1.0,0.8942131,0.1645706,0.3712078823784659,1.0,0.71318924,0.6116153,0.87773705,0.5407923320375536,1.0,0.75251305,0.24091186,0.45174257665937445,1.0,1.3641284,0.3712078823784659
Lrrc8a,0.54414576,0.4432236,0.5863411519945453,1.0,0.7604518,0.019305801,0.4469845574961202,1.0,1.3045976,0.55404603,0.7231358,0.5795473220812581,1.0,0.89143854,0.3588607,0.3726939429308114,1.0,1.4454846,0.3726939429308114
Nt5dc1,,,,,,,,,,0.28347078,0.20715389,0.7768159755966106,1.0,0.88477296,0.59306645,0.3762791092094102,1.0,1.1682438,0.3762791092094102
Stk39,0.16584897,0.28198734,0.8682758023517546,1.0,0.87843937,0.41158733,0.3797053281076965,1.0,1.0442884,0.48588413,0.62185544,0.6270493282469866,1.0,0.7097128,0.7149309,0.47788226103851095,1.0,1.1955969,0.3797053281076965
Itpripl2,0.33847964,0.9272313,0.7350017741624983,1.0,0.8765991,0.82179576,0.3807044290013305,1.0,1.2150787,0.38525313,1.2254114,0.7000498735115327,1.0,0.6976094,0.9034239,0.48542148261623486,1.0,1.0828626,0.3807044290013305
Sap25,-0.07520278,0.064893976,0.9400533767654278,1.0,0.87339175,0.21014298,0.3824495741294778,1.0,0.798189,0.061483916,0.43436733,0.9509738244008159,1.0,0.67603385,0.46644732,0.49901913430990874,1.0,0.7375178,0.3824495741294778
Selenos,,,,,,,,,,0.09165018,0.319105,0.9269759813749507,1.0,0.8682843,0.7256575,0.3852387123989638,1.0,0.9599345,0.3852387123989638
Csf2rb,0.11831008,0.013654092,0.9058219712954548,1.0,0.86518943,0.25207868,0.38693482626053755,1.0,0.9834995,,,,,,,,,,0.38693482626053755
Spsb1,0.12502462,0.17668588,0.9005040649923659,1.0,0.7846382,0.21373776,0.4326657165081823,1.0,0.90966284,0.4202552,0.8099315,0.6742990175442509,1.0,0.8649515,0.6946695,0.3870654114922507,1.0,1.2852067,0.3870654114922507
Plxnc1,,,,,,,,,,0.8435041,0.98130137,0.39894660564561046,1.0,0.8568826,0.2517079,0.39150977474640614,1.0,1.7003866,0.39150977474640614
Sgk1,,,,,,,,,,0.22198687,0.27960044,0.824324106162339,1.0,0.8461825,0.09996272,0.3974509305708366,1.0,1.0681694,0.3974509305708366
Arhgap39,0.44208488,0.6503192,0.6584277835642497,1.0,0.49881813,0.0038130074,0.6179075231906486,1.0,0.940903,0.8418921,1.5205656,0.39984834990551177,1.0,0.33468413,0.15319702,0.7378633727439998,1.0,1.1765763,0.39984834990551177
Gimap7,0.034311265,0.106463626,0.972628941247891,1.0,0.7874775,0.16966984,0.431002400996513,1.0,0.8217888,0.7815596,0.97615224,0.4344734524125643,1.0,0.7037488,0.43209097,0.48158921521622566,1.0,1.4853084,0.431002400996513
Ifitm3,,,,,,,,,,0.011974395,0.16419974,0.9904460431298903,1.0,0.7816313,2.7618861,0.4344312954970968,1.0,0.7936057,0.4344312954970968
Tm2d3,0.31001002,0.70347476,0.7565533447053852,1.0,0.6630227,0.18973601,0.5073160089998824,1.0,0.9730327,0.2275135,0.9190006,0.8200244636716532,1.0,0.7791755,0.9903278,0.43587632174220947,1.0,1.0066891,0.43587632174220947
Nol8,0.70462316,1.1429789,0.48104479398015754,1.0,0.7584538,0.6096595,0.4481793520635262,1.0,1.463077,0.58467287,1.2139616,0.558767691872169,1.0,0.7651427,0.74734074,0.44418660323330006,1.0,1.3498156,0.44418660323330006
Pcnx3,,,,,,,,,,0.30304432,0.18182838,0.7618560911145502,1.0,0.7567229,0.11012362,0.44921587604840085,1.0,1.0597672,0.44921587604840085
Tspyl3,0.5881931,2.9326658,0.5564026679754281,1.0,0.5859943,2.67589,0.5578793459330993,1.0,1.1741874,0.75392634,5.1325126,0.4508934446206996,1.0,0.48080146,4.3118405,0.6306576051260251,1.0,1.2347279,0.4508934446206996
Plekha5,0.18035237,0.1862268,0.8568759455443029,1.0,0.7428904,0.21701221,0.4575480413934295,1.0,0.9232428,0.28370106,0.28781763,0.7766394827459902,1.0,0.4622079,0.08799659,0.6439322331801214,1.0,0.745909,0.4575480413934295
Coq8b,,,,,,,,,,0.10546679,0.27471784,0.9160054207591312,1.0,0.7269031,1.737665,0.467285341237309,1.0,0.83236986,0.467285341237309
Zfp65,,,,,,,,,,0.71800315,1.9166085,0.47275533325399766,1.0,0.1343648,0.14555702,0.8931141119779356,1.0,0.85236794,0.47275533325399766
Ano10,-0.00201436,0.22874032,0.9983927743151192,1.0,0.7135512,0.85775715,0.47550471432855623,1.0,0.7115369,-0.011283565,0.343824,0.9909972088413501,1.0,0.6381451,1.2919288,0.5233792236076088,1.0,0.6268615,0.47550471432855623
Vipr1,,,,,,,,,,0.11007233,0.1301593,0.9123520149143067,1.0,0.69287336,0.952027,0.48838904564224583,1.0,0.8029457,0.48838904564224583
Mlh1,-0.12448745,0.04622567,0.9009293364059396,1.0,0.69062674,0.51516306,0.4898001331281461,1.0,0.5661393,,,,,,,,,,0.4898001331281461
Dele1,0.24722913,0.8421115,0.8047309088944439,1.0,0.56601423,0.31106684,0.5713841049501492,1.0,0.8132434,0.2820891,1.172222,0.7778751743453735,1.0,0.65445834,0.9096665,0.5128165643359522,1.0,0.93654746,0.5128165643359522
Pcgf1,,,,,,,,,,0.16764154,1.2037295,0.8668652932675119,1.0,0.646214,1.7563686,0.5181407639370889,1.0,0.8138555,0.5181407639370889
Tars2,,,,,,,,,,-0.094413504,0.31513244,0.9247806907253135,1.0,0.61972696,0.31235313,0.5354375635395778,1.0,0.52531344,0.5354375635395778
Tmem185b,,,,,,,,,,0.27955607,0.41452035,0.7798181097797509,1.0,0.61884993,0.5857711,0.5360152429625756,1.0,0.898406,0.5360152429625756
Zup1,,,,,,,,,,0.61391807,0.79940856,0.5392694889384742,1.0,0.51290166,0.117722124,0.6080200996123052,1.0,1.1268197,0.5392694889384742
Pnpo,0.4314759,2.034737,0.6661223582090694,1.0,0.431622,1.5033762,0.6660161654571188,1.0,0.8630979,0.6070097,3.6365511,0.5438444520475827,1.0,0.50272787,2.757356,0.6151556321620637,1.0,1.1097376,0.5438444520475827
Rab12,,,,,,,,,,0.3619952,0.7667658,0.7173556300892019,1.0,0.60657114,0.37346756,0.5441355601835424,1.0,0.9685663,0.5441355601835424
Il4,,,,,,,,,,0.0064477515,0.92494303,0.9948554743908476,1.0,0.57710207,2.2331815,0.5638704903915921,1.0,0.5835498,0.5638704903915921
Gadd45g,0.100046545,0.28373963,0.920307370516983,1.0,0.5723763,0.7465454,0.5670670638362776,1.0,0.6724229,0.31870314,1.274666,0.7499516346986579,1.0,0.36660892,1.1016688,0.7139107472816113,1.0,0.68531203,0.5670670638362776
Chsy1,,,,,,,,,,0.46354726,1.3784642,0.6429721428161406,1.0,0.56499875,1.3084285,0.5720746237518914,1.0,1.028546,0.5720746237518914
