names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_max
Zfp281,,,,,,,,,,-0.47515547,-1.0851711,0.6346761677557609,1.0,0.6977851,-0.21902199,0.4853116002508465,1.0,0.2226296,0.4853116002508465
Mical3,,,,,,,,,,-0.6781345,-1.6711307,0.4976864192234961,1.0,-0.17107385,-0.5725868,0.8641656968067934,1.0,-0.84920835,0.4976864192234961
Fancl,,,,,,,,,,-0.67681646,-1.2162927,0.4985224182636827,1.0,-0.6254313,-1.840039,0.5316880361538194,1.0,-1.3022478,0.4985224182636827
Cd1d1,-0.46413955,-0.13858804,0.64254777364368,0.9965079171708816,0.0015444169,-0.12030763,0.9987677341001998,1.0,-0.46259513,-0.6754984,-1.2393668,0.4993591634103428,1.0,-0.3556374,-0.75037146,0.7221121343434616,1.0,-1.0311358,0.4993591634103428
Tsc22d1,,,,,,,,,,-0.6728623,-0.950906,0.5010348888636029,1.0,-0.42921755,-0.4735051,0.6677649146770663,1.0,-1.1020799,0.5010348888636029
Spns1,-0.65676075,-1.2605331,0.5113347640090502,0.8927263701676157,-0.16170044,-0.086013705,0.8715417516676627,1.0,-0.8184612,-0.29062906,-1.5666744,0.7713350242483221,1.0,-0.122020416,-0.74667364,0.902882848776219,1.0,-0.41264948,0.5113347640090502
Tomm7,,,,,,,,,,-0.6148683,-0.12660404,0.5386416953857579,1.0,-0.45435745,-0.52984506,0.6495715857470189,1.0,-1.0692258,0.5386416953857579
Cntrob,-0.61104006,-1.429655,0.5411730755103584,0.9190540149671584,-0.2718174,-0.6246771,0.7857624469448814,1.0,-0.88285744,-0.48701787,-2.3139656,0.6262456632734115,1.0,-0.24158816,-1.0389532,0.8090992957565319,1.0,-0.72860605,0.5411730755103584
Tulp4,,,,,,,,,,-0.5911435,-4.115477,0.5544242866409586,1.0,-0.3311107,-0.7967695,0.740560885579489,1.0,-0.9222542,0.5544242866409586
Luzp1,,,,,,,,,,-0.5911435,-3.7717714,0.5544242866409586,1.0,-0.41940686,-0.77389556,0.6749188114796434,1.0,-1.0105504,0.5544242866409586
Arl2,-0.46909124,-1.7043401,0.6390044177964236,0.9965079171708816,-0.18810998,-1.2906724,0.8507904403163398,1.0,-0.65720123,-0.5885074,-3.3470502,0.5561917735335224,1.0,-0.25017253,-1.7492636,0.8024539409896924,1.0,-0.8386799,0.5561917735335224
Lima1,,,,,,,,,,-0.5871894,-1.6243762,0.5570765465324463,1.0,-0.37893778,-1.2096592,0.7047340705487172,1.0,-0.96612716,0.5570765465324463
Flot2,,,,,,,,,,-0.58455324,-0.97366273,0.5588481466060362,1.0,0.08706985,-0.047833566,0.930615994378913,1.0,-0.4974834,0.5588481466060362
Bmp1,-0.4456532,-1.2321266,0.6558477846764545,0.9994004724072083,-0.43166453,-0.9979326,0.6659852578769279,1.0,-0.8773177,-0.5832352,-2.620884,0.5597349716594073,1.0,-0.51015574,-1.4010279,0.609942376338064,1.0,-1.093391,0.5597349716594073
Klhl42,,,,,,,,,,-0.56741863,-1.1208345,0.5704297740969595,1.0,-0.36422175,-0.96180844,0.7156924290420406,1.0,-0.9316404,0.5704297740969595
Rbak,-0.56647474,-1.5514653,0.5710711148613475,0.9418444887346933,0.12942213,-0.26032656,0.8970236336659758,1.0,-0.4370526,-0.39277762,-22.524786,0.6944837429770858,1.0,0.15574466,-0.32795027,0.8762342988573832,1.0,-0.23703296,0.5710711148613475
Tmcc3,,,,,,,,,,-0.5654416,-0.034396518,0.5717734407532985,1.0,-0.007971183,-0.6953296,0.9936399834966203,1.0,-0.5734128,0.5717734407532985
Mtfr1,,,,,,,,,,-0.5634645,-0.037435107,0.5731186103565593,1.0,-0.37035343,-0.50749886,0.711119171061831,1.0,-0.933818,0.5731186103565593
Sox4,-0.40306854,-1.1803293,0.6868977967468275,1.0,-0.20942293,-1.2321146,0.8341180941459517,1.0,-0.6124915,-0.4883359,-2.0259445,0.6253119218231927,1.0,-0.52425855,-2.179643,0.6000987050927493,1.0,-1.0125945,0.6000987050927493
Rnf113a1,,,,,,,,,,-0.38816446,-1.5107772,0.6978943392602213,1.0,-0.5027977,-22.495571,0.6151065125551408,1.0,-0.8909622,0.6151065125551408
Ms4a6d,,,,,,,,,,-0.490972,-22.90219,0.6234462425812151,1.0,-0.13244428,-0.90278393,0.8946328994342938,1.0,-0.6234163,0.6234462425812151
Phlda3,,,,,,,,,,-0.490972,-23.31353,0.6234462425812151,1.0,-0.13367061,-0.39637703,0.8936630484244894,1.0,-0.6246426,0.6234462425812151
L3mbtl3,,,,,,,,,,-0.48965397,-2.7474554,0.6243787811813061,1.0,0.48685533,-0.19613877,0.6263608556380501,1.0,-0.0027986467,0.6243787811813061
